Date,Stock,GapSize,MarketCap,OpenAdjusted,OpenUnadjusted,PreVolume,PreRVOL,Pre$Volume,PreHigh,Open/PreHigh,Weekday,GapSizeRel,MaxGain/Gap,PreBreakTime,HODTime,Day1/Gap,Day1,Day2,Overnight,2Day,Volume,$volume,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum,AF6M,AF12M,Price935,Price945,Price1000,Price1100,Price1300,Price1500,Change935/Gap,Change945/Gap,Change1000/Gap,Change1100/Gap,Change1300/Gap,Change1500/Gap
2017-01-04,CBAY,40.52631578947368,194738628.7,2.67,2.67,454553.0,,,3.0,0.6999999999999998,2,6.2913789170574335,0.23376623376623396,,10:21:00,0.4805194805194806,0.13857677902621726,-0.05617977528089885,0.01872659176029956,0.10112359550561799,8704142.0,21629792.869999997,0.013857677902621726,-0.005617977528089885,0.001872659176029956,0.010112359550561799,0.013857677902621726,-0.005617977528089885,0.001872659176029956,0.010112359550561799,,,2.387,2.46,2.385,2.55,2.4779,2.39,-0.36753246753246743,-0.27272727272727265,-0.3701298701298703,-0.15584415584415598,-0.24948051948051939,-0.36363636363636337
2017-01-04,EVOK,44.927536231884076,87845931.2,3.0,3.0,884152.0,,,3.15,0.8611111111111113,2,6.342722521020582,0.5376344086021504,09:31:00,09:33:00,0.3333333333333333,0.10333333333333335,0.08333333333333333,-0.13666666666666671,0.04999999999999997,15332635.0,43621346.574999996,0.010333333333333335,0.008333333333333333,-0.013666666666666672,0.0049999999999999975,0.02419101123595506,0.0027153558052434483,-0.011794007490636716,0.015112359550561796,,,3.0799,2.9635,2.8088,2.6701,2.67,2.665,0.0859139784946235,-0.039247311827957196,-0.20559139784946212,-0.3547311827956987,-0.3548387096774194,-0.36021505376344076
2017-01-04,CPHI,18.017309205350116,12544982.605,0.3,0.3,0.0,,,,,2,1.6932374462489088,0.0,,09:30:00,0.7641921397379906,0.11666666666666659,0.001999999999999965,0.0,0.11866666666666656,33316.0,9411.769999999999,0.011666666666666659,0.0001999999999999965,0.0,0.011866666666666657,0.03585767790262172,0.002915355805243445,-0.011794007490636716,0.026979026217228454,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-01-05,PIRS,25.85890196612015,126829424.48,1.85,1.85,591049.0,,,2.1,0.6032375813362959,3,3.7187361704965607,0.2893975269665873,,10:28:00,0.23677979479084466,0.04864864864864869,-0.059459459459459386,-0.00540540540540541,-0.01621621621621611,3344191.0,6036264.755000001,0.00486486486486487,-0.005945945945945939,-0.000540540540540541,-0.0016216216216216111,0.04072254276748659,-0.003030590140702494,-0.012334548031177256,0.02535740459560684,,,1.8215,1.81,1.82,1.8255,0.0,1.77,-0.07498026835043459,-0.10523546435148652,-0.07892659826361488,-0.06445672191528592,,-0.21047092870297304
2017-01-05,CTIC,30.22670025188916,431248211.04,5.17,5.17,107635.0,,,5.17,1.0,3,5.15888441173508,0.21666666666666654,09:30:00,09:30:00,0.5916666666666668,0.13733075435203093,-0.04835589941972921,-0.017408123791102487,0.07156673114119924,1976789.0,9518239.034999998,0.013733075435203093,-0.004835589941972921,-0.0017408123791102488,0.007156673114119924,0.05445561820268968,-0.007866180082675416,-0.014075360410287504,0.032514077709726766,,,4.9799,4.89,4.84,0.0,4.61,4.28,-0.15841666666666684,-0.2333333333333336,-0.27500000000000013,,-0.46666666666666645,-0.7416666666666666
2017-01-05,SRAX,16.083021646867323,128653237.44,5.99,5.99,200.0,,,5.58,1.9764229578471084,3,1.5914808072264646,0.0,09:30:00,09:30:00,1.2893119652970235,0.17863105175292157,0.16527545909849753,-0.17863105175292157,0.16527545909849753,12173.0,66403.715,0.017863105175292156,0.016527545909849752,-0.017863105175292156,0.016527545909849752,0.07231872337798184,0.008661365827174337,-0.03193846558557966,0.04904162361957652,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-01-05,EVOK,15.241635687732359,93070968.0,3.1,3.1,386121.0,,,3.2,0.8039215686274516,3,2.151764241751678,0.0,,09:30:00,0.6097560975609754,0.08064516129032258,0.029032258064516082,0.016129032258064602,0.12580645161290327,3075287.0,9148978.825000001,0.008064516129032258,0.0029032258064516083,0.0016129032258064603,0.012580645161290328,0.08038323950701409,0.011564591633625946,-0.0303255623597732,0.06162226878086685,,,2.9399,2.87,2.8399,2.86,2.82,2.8951,-0.3904878048780484,-0.5609756097560973,-0.6343902439024388,-0.5853658536585369,-0.6829268292682931,-0.49975609756097616
2017-01-06,SRAX,21.747967479674802,130745160.0,5.99,5.99,0.0,,,,,4,2.1520503795895487,0.0,,09:32:00,0.9252336448598131,0.16527545909849753,0.09390651085141903,-0.04215358931552594,0.21702838063439062,17803.0,97827.485,0.016527545909849752,0.009390651085141904,-0.0042153589315525935,0.02170283806343906,0.09691078541686385,0.02095524271876785,-0.03454092129132579,0.08332510684430591,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-01-06,SSY,24.99999999999998,10163491.6865,1.4,1.4,2000.0,,,1.4,1.0,4,4.253965077729889,0.6428571428571439,09:34:00,09:48:00,-0.2196428571428577,-0.04392857142857151,0.02142857142857145,-0.013214285714285687,-0.03571428571428575,586477.0,839101.96775,-0.0043928571428571515,0.002142857142857145,-0.0013214285714285689,-0.003571428571428575,0.09251792827400669,0.023098099861624994,-0.03586234986275436,0.07975367827287734,,,1.44,1.4999,0.0,0.0,0.0,1.5,0.14285714285714307,0.35678571428571487,,,,0.3571428571428577
2017-01-09,DFFN,21.359223300970886,580945875.3000001,37.5,2.5,0.0,,,,,0,2.087773030712286,7.345681818181816,,15:59:00,-7.272727272727272,-1.28,-0.38,-0.68,-2.34,647522.0,39822603.0,-0.128,-0.038000000000000006,-0.068,-0.23399999999999999,-0.03548207172599331,-0.014901900138375012,-0.10386234986275436,-0.15424632172712266,,,0.0,0.0,35.061,0.0,0.0,69.5955,,,-0.36954545454545445,,,4.862954545454545
