,Date,Stock,GapSize,GapSizeRel,RVOL10D,$volume,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum,MaxChange,OpenPrice,market_cap,PreVolume,PreHigh
289,2020-09-02,GES,16.153205661948377,6.59778117265781,4.521994906046288,5143269.99999999,0.03942652329749097,0.00860215053763448,-0.005734767025089611,0.042293906810035836,0.003442652329749097,0.000360215053763448,-0.001073476702508961,0.003729390681003584,1.0555190359197564,0.4542770124990303,-0.2440961000565952,1.555699948362192,5.663082437276001,13.95,870660269.8000001,656388.0,
290,2020-09-02,GNUS,17.272727272727263,3.9968086819612116,2.7500516173179093,8021462.820000007,0.10852713178294583,0.023255813953488393,0.04651162790697661,0.17829457364341084,0.010352713178294583,0.0018255813953488393,0.004151162790697662,0.017329457364341085,1.065871749098051,0.4561025938943791,-0.23994493726589755,1.573029405726533,5.4263565891472965,1.29,348736010.75,7179305.0,
291,2020-09-09,IBIO,16.315789473684216,3.634405223427693,1.9189022888615788,10487936.969999999,0.09502262443438912,-0.013574660633484175,0.018099547511312233,0.09954751131221719,0.009002262443438913,-0.0018574660633484175,0.0013099547511312233,0.009454751131221718,1.0748740115414899,0.4542451278310307,-0.23863498251476634,1.5824841568577548,2.714932126696845,2.21,435915188.0,5801604.0,
292,2020-09-22,GME,19.428571428571416,5.135765532610607,2.4298479619093745,3847289.050000042,-0.0105263157894738,0.05358851674641153,-0.0038277511961721674,0.039234449760765566,-0.0015526315789473801,0.004858851674641154,-0.0008827751196172168,0.003423444976076557,1.0733213799625425,0.4591039795056719,-0.23951775763438354,1.5859076018338314,6.888995215311011,10.45,806264247.36,3210282.0,
293,2020-09-25,GNUS,22.115384615384603,5.117371439960459,4.654421185345894,3132569.540000003,0.015748031496063006,0.007874015748031503,0.04724409448818902,0.07086614173228353,0.0010748031496063005,0.0002874015748031503,0.004224409448818902,0.006586614173228353,1.074396183112149,0.45939138108047506,-0.23529334818556463,1.5924942160070596,17.322834645669282,1.27,379060881.25,4134010.0,
294,2020-09-28,GLBS,23.104371097234598,5.863500215922229,4.45197988750689,520624.69610000006,-0.060144927536231886,-0.02318840579710147,0.1833333333333334,0.10000000000000005,-0.006514492753623188,-0.0028188405797101475,0.01783333333333334,0.009500000000000005,1.0678816903585258,0.4565725405007649,-0.2174600148522313,1.6019942160070597,13.043478260869556,13.8,301046645.13,37833.35,
295,2020-09-29,GRNQ,45.09803921568627,7.3299537544002265,9.266573599645989,1613824.7400000014,-0.0743243243243244,-0.10135135135135129,0.19594594594594597,0.02027027027027029,-0.00793243243243244,-0.01063513513513513,0.0190945945945946,0.0015270270270270289,1.0599492579260934,0.44593740536562976,-0.1983654202576367,1.6035212430340868,45.945945945945965,1.48,124769983.92,1312930.0,
296,2020-09-29,HUSA,179.35519325883854,49.511128968373725,9.858150822091659,10232353.529999977,0.022950819672131098,0.11803278688524586,0.2229508196721312,0.36393442622950817,0.0017950819672131098,0.011303278688524586,0.021795081967213123,0.03589344262295082,1.0617443398933064,0.45724068405415436,-0.17657033829042357,1.6394146856570377,108.52459016393445,3.05,29586447.24,10365183.0,
297,2020-10-02,IDT,22.81976744186045,8.611926336713061,8.885576754493924,13322005.760000011,-0.13254437869822497,-0.0591715976331361,0.008284023668639088,-0.183431952662722,-0.013754437869822498,-0.00641715976331361,0.0003284023668639088,-0.018843195266272202,1.047989902023484,0.45082352429084077,-0.17624193592355966,1.6205714903907655,24.142011834319543,8.45,246541134.18,102722.0,
298,2020-10-05,HGEN,33.90862944162436,7.558557101358507,3.4827190559274386,2700782.6999999974,0.07960576194086422,-0.06065200909780129,-0.09552691432903714,-0.0765731614859742,0.007460576194086421,-0.00656520090978013,-0.010052691432903715,-0.008157316148597422,1.0554504782175704,0.44425832338106064,-0.18629462735646338,1.612414174242168,0.9855951478392688,13.19,774753348.62,331172.0,
299,2020-10-05,GRNQ,126.60550458715596,20.577668338041004,8.84334657572958,81160925.17000002,0.24696356275303646,-0.12145748987854252,0.09311740890688266,0.2186234817813766,0.024196356275303647,-0.012645748987854253,0.008811740890688266,0.02136234817813766,1.079646834492874,0.4316125743932064,-0.17748288646577512,1.6337765224203058,10.93117408906883,2.47,145957339.68,15088536.0,
300,2020-10-12,HUSN,35.862068965517246,8.599705707321956,9.453342787261217,161594.7983999993,0.0035532994923857713,0.07783417935702198,0.10304568527918781,0.18443316412859556,-0.00014467005076142288,0.007283417935702198,0.009804568527918781,0.017943316412859556,1.0795021644421126,0.4388959923289086,-0.16767831793785634,1.6517198388331653,79.3570219966159,2.955,20717931.897,735287.4,
301,2020-10-15,HUSN,33.84496124031007,8.116004311470347,2.2423053949840868,5127561.4318999965,0.22390825900613914,-0.0004633383528321047,0.04679717363604772,0.27024209428935475,0.021890825900613916,-0.0005463338352832105,0.0041797173636047725,0.026524209428935477,1.1013929903427264,0.4383496584936254,-0.16349860057425156,1.6782440482621008,1.9344376230742588,4.3165,23571089.1,1743790.0,
302,2020-10-15,HBP,30.892221025598545,9.70333606027191,9.756261712882475,5954654.939999995,-0.08227848101265815,-0.056962025316455604,0.028481012658227802,-0.11075949367088596,-0.008727848101265817,-0.0061962025316455605,0.0023481012658227805,-0.011575949367088598,1.0926651422414606,0.43215345596197985,-0.16115049930842879,1.6666680988950122,18.670886075949355,3.16,93693198.24,272804.0,
