Date,Stock,GapSize,market_cap,OpenPrice,OpenUnadjusted,PreVolume,PreHigh,PreBreakTime,RVOL10D,GapSizeRel,$volume,MaxChange,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum
2017-01-04,CBAY,40.52631578947368,194738628.7,2.67,2.67,454553.0,3.0,,,6.2913789170574335,21629792.869999997,6.741573033707882,0.13857677902621726,-0.05617977528089885,0.01872659176029956,0.10112359550561799,0.013357677902621726,-0.0061179775280898845,0.001372659176029956,0.009612359550561798,0.013357677902621726,-0.0061179775280898845,0.001372659176029956,0.009612359550561798
2017-01-04,HLT,329.3067407901342,16165857556.0,57.3,57.3,0.0,,,,136.392832543649,323698177.9,4.284467713787099,-0.012216404886562005,0.012914485165794102,-0.0010471204188482073,-0.0003490401396161104,-0.0017216404886562005,0.0007914485165794104,-0.0006047120418848208,-0.0005349040139616111,0.011636037413965525,-0.005326529011510474,0.0007679471341451353,0.009077455536600188
2017-01-04,EVOK,44.927536231884076,87845931.2,3.0,3.0,884152.0,3.15,09:31:00,,6.342722521020582,43621346.574999996,16.666666666666675,0.10333333333333335,0.08333333333333333,-0.13666666666666671,0.04999999999999997,0.009833333333333335,0.007833333333333333,-0.014166666666666673,0.004499999999999997,0.02146937074729886,0.002506804321822859,-0.013398719532521537,0.013577455536600185
2017-01-05,CTIC,30.22670025188916,431248211.04,5.17,5.17,107635.0,5.17,09:30:00,,5.15888441173508,9518239.034999998,5.029013539651839,0.13733075435203093,-0.04835589941972921,-0.017408123791102487,0.07156673114119924,0.013233075435203093,-0.0053355899419729215,-0.002240812379110249,0.006656673114119924,0.034702446182501956,-0.0028287856201500627,-0.015639531911631786,0.020234128650720107
2017-01-05,PIRS,25.85890196612015,126829424.48,1.85,1.85,591049.0,2.1,,,3.7187361704965607,6036264.755000001,5.94594594594593,0.04864864864864869,-0.059459459459459386,-0.00540540540540541,-0.01621621621621611,0.004364864864864869,-0.006445945945945939,-0.001040540540540541,-0.002121621621621611,0.039067311047366826,-0.009274731566096001,-0.016680072452172328,0.018112507029098494
2017-01-05,SRAX,16.083021646867323,128653237.44,5.99,5.99,200.0,5.58,09:30:00,,1.5914808072264646,66403.715,0.0,0.17863105175292157,0.16527545909849753,-0.17863105175292157,0.16527545909849753,0.017363105175292156,0.016027545909849752,-0.018363105175292157,0.016027545909849752,0.056430416222658986,0.0067528143437537505,-0.035043177627464485,0.03414005293894824
2017-01-05,EVOK,15.241635687732359,93070968.0,3.1,3.1,386121.0,3.2,,,2.151764241751678,9148978.825000001,0.0,0.08064516129032258,0.029032258064516082,0.016129032258064602,0.12580645161290327,0.007564516129032257,0.0024032258064516083,0.0011129032258064603,0.012080645161290328,0.06399493235169124,0.00915604015020536,-0.03393027440165802,0.04622069810023857
2017-01-06,SRAX,21.747967479674802,130745160.0,5.99,5.99,0.0,,,,2.1520503795895487,97827.485,0.0,0.16527545909849753,0.09390651085141903,-0.04215358931552594,0.21702838063439062,0.016027545909849752,0.008890651085141903,-0.004715358931552594,0.02120283806343906,0.08002247826154099,0.018046691235347263,-0.03864563333321062,0.06742353616367763
2017-01-09,EXAS,16.22516556291391,3098292401.58,17.55,17.55,145075.0,18.4,09:40:00,,3.5193275046895196,190229982.745,5.527065527065522,-0.024501424501424483,0.029059829059828946,-0.005698005698005576,-0.0011396011396011152,-0.0029501424501424487,0.0024059829059828947,-0.0010698005698005577,-0.0006139601139601115,0.07707233581139854,0.020452674141330156,-0.039715433903011174,0.06680957604971752
2017-01-09,WOOF,28.557298290235988,5283279002.552307,90.98,90.98,1129683.0,92.18,,,10.26393202660898,2022791363.6550002,0.05495713343590669,0.0020883710705649344,-0.000879314134974701,0.00043965706748742855,0.001648714003077662,-0.0002911628929435066,-0.0005879314134974701,-0.00045603429325125717,-0.0003351285996922338,0.07678117291845503,0.019864742727832688,-0.04017146819626243,0.06647444745002529
2017-01-09,GEVO,17.777777777777782,825617964.47,95.4,4.77,2668.9500000000003,94.0,09:30:00,,1.9420496607342235,135000351.6,0.0,0.14255765199161433,0.03773584905660371,0.033542976939203384,0.21383647798742142,0.013755765199161434,0.0032735849056603713,0.0028542976939203383,0.020883647798742144,0.09053693811761646,0.02313832763349306,-0.037317170502342095,0.08735809524876743
2017-01-09,MACK,33.33333333333333,,48.0,4.8,352311.79999999993,56.1,,,6.08361213071943,1478925440.3,1.2499999999999956,0.2354166666666666,0.039583333333333304,0.016666666666666757,0.2916666666666667,0.02304166666666666,0.0034583333333333306,0.0011666666666666757,0.02866666666666667,0.11357860478428311,0.02659666096682639,-0.03615050383567542,0.11602476191543411
2017-01-10,RKDA,17.391304347826097,21962392.65,21.6,1.08,466.55,25.0,,,1.8571427409354204,3347686.8000000003,9.259259259259256,0.08333333333333336,0.07407407407407414,-0.009259259259259226,0.14814814814814828,0.007833333333333336,0.006907407407407414,-0.0014259259259259225,0.014314814814814829,0.12141193811761644,0.03350406837423381,-0.03757642976160134,0.13033957673024893
2017-01-10,CLRB,16.793893129771,84625250.64,15.3,1.53,6121.099999999999,16.3,,,2.137954212650533,17295584.075,4.575163398692816,0.09477124183006543,0.05228758169934633,-0.022875816993464027,0.12418300653594773,0.008977124183006542,0.004728758169934634,-0.0027875816993464027,0.011918300653594774,0.13038906230062297,0.038232826544168444,-0.040364011460947744,0.1422578773838437
2017-01-10,DFFN,29.824561403508774,851034747.15,111.0,7.4,4097.4671,120.0,09:30:00,,2.9152237454363723,293082300.0,109.45945945945948,-0.12837837837837837,0.16216216216216217,0.1554054054054054,0.1891891891891892,-0.013337837837837839,0.015716216216216217,0.015040540540540541,0.01841891891891892,0.11705122446278513,0.05394904276038466,-0.025323470920407203,0.16067679630276263
2017-01-10,NSPR,29.602888086642597,26394000.0,94237.5,3.59,1.8227999999999998,93187.5,09:30:00,,2.852178732661743,264944191181.25,10.584958217270191,0.11420612813370473,-0.024401114206128133,0.04668523676880223,0.13649025069637882,0.010920612813370473,-0.0029401114206128137,0.004168523676880223,0.013149025069637882,0.1279718372761556,0.05100893133977185,-0.02115494724352698,0.17382582137240052
2017-01-11,XTNT,24.955373081042474,60757322.49999999,8.4,0.7,2635.6665000000003,8.88,09:38:00,,2.865589337771589,21549687.6,21.028571428571418,0.0,0.09885714285714285,0.057000000000000065,0.15585714285714292,-0.0005,0.009385714285714285,0.005200000000000007,0.015085714285714293,0.1274718372761556,0.06039464562548613,-0.015954947243526973,0.1889115356581148
