,Date,Stock,market_cap,GapSize,GapSizeRel,OpenPrice,MaxChange,PreVolume,PreHigh,RVOL10D,$volume,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum
230,2018-05-24,SGLB,14698322.799999999,16.417910447761198,4.115392430281465,15.6,0.0,0.0,,0.2479045855389096,6355.039999999999,0.10256410256410255,0.032051282051282055,0.019230769230769277,0.15384615384615388,0.009756410256410254,0.0027051282051282054,0.0014230769230769277,0.014884615384615388,0.7116962800070247,0.08001384095312226,-0.07808387236549946,0.9446262485946475
231,2018-05-24,BW,2389419977.2999997,16.731517509727635,4.104639172011123,30.0,0.0,10452.3,31.0,2.8483384224094683,1628093.8700000006,0.07666666666666669,0.04666666666666674,0.0033333333333332624,0.12666666666666668,0.007166666666666668,0.004166666666666674,-0.0001666666666666738,0.012166666666666668,0.7188629466736913,0.08418050761978894,-0.07825053903216614,0.9567929152613142
232,2018-05-25,VTGN,293562429.51,72.16494845360823,18.194586516759166,1.67,5.389221556886237,2853382.0,1.82,9.240672520589397,5592632.799999999,0.11976047904191614,0.06586826347305381,0.023952095808383256,0.20958083832335322,0.011476047904191614,0.006086826347305382,0.0018952095808383255,0.020458083832335324,0.730338994577883,0.09026733396709433,-0.07635532945132781,0.9772509990936494
233,2018-05-30,CODX,97394593.72,22.316384180790962,5.225387954278205,4.33,8.314087759815258,719049.0,4.79,2.7558714116479077,6353453.700000001,0.22863741339491922,0.057736720554272515,0.0438799076212471,0.3302540415704388,0.022363741339491924,0.005273672055427252,0.00388799076212471,0.03252540415704388,0.7527027359173749,0.09554100602252158,-0.0724673386892031,1.0097764032506933
234,2018-05-30,OGEN,,75.00000000000003,16.12662019124209,2.1,15.714285714285726,1105278.0,2.15,8.050832166788053,1722769.8000000014,0.04761904761904766,0.09523809523809522,0.14285714285714288,0.28571428571428575,0.004261904761904766,0.009023809523809522,0.013785714285714288,0.028071428571428577,0.7569646406792797,0.1045648155463311,-0.058681624403488813,1.0378478318221218
235,2018-05-30,DKS,3321337377.15,23.32677165354331,12.791479042922262,37.59,3.724394785847296,1990851.0,38.4,5.465363026662315,22676369.27999994,-0.020218143123171002,0.05160947060388395,-0.005054535780792703,0.02633679169992024,-0.0025218143123171004,0.004660947060388395,-0.0010054535780792703,0.0021336791699920242,0.7544428263669626,0.1092257626067195,-0.05968707798156808,1.0399815109921138
236,2018-05-31,VKTX,781566541.11,35.81488933601611,12.311941077149992,6.75,51.85185185185186,3561173.0,7.2,8.48826079857912,186234704.28,-0.48000000000000004,0.1333333333333334,-0.0977777777777778,-0.4444444444444444,-0.04850000000000001,0.012833333333333339,-0.010277777777777782,-0.04494444444444445,0.7059428263669626,0.12205909594005283,-0.06996485575934586,0.9950370665476693
237,2018-05-31,JILL,391530815.20000005,17.741935483870975,4.864091657318146,36.5,8.219178082191792,23713.8,36.85,5.354883929051654,2053725.840000002,-0.07397260273972611,-0.023287671232876752,-0.008219178082191704,-0.10547945205479456,-0.007897260273972612,-0.0028287671232876755,-0.0013219178082191703,-0.011047945205479456,0.69804556609299,0.11923032881676515,-0.07128677356756502,0.9839891213421899
238,2018-05-31,MDGL,4541158074.900001,61.578898828737415,25.468590021079606,175.2,55.930365296803664,403923.0,187.0,7.395578733269728,459313901.04000014,-0.5160388127853883,-0.025228310502283198,-0.0250570776255707,-0.5663242009132422,-0.052103881278538836,-0.00302283105022832,-0.0030057077625570703,-0.05713242009132422,0.6459416848144511,0.11620749776653683,-0.07429248133012209,0.9268567012508656
239,2018-05-31,VTVT,119158143.06,41.74174174174172,10.386413901098104,2.36,2.5423728813559254,1025971.0,2.55,6.083982946441632,4940239.319999998,0.24576271186440674,-0.021186440677966028,-0.02118644067796612,0.2033898305084746,0.024076271186440675,-0.0026186440677966032,-0.0026186440677966123,0.01983898305084746,0.6700179560008918,0.11358885369874022,-0.07691112539791871,0.946695684301713
240,2018-06-01,CODX,139676677.82,17.586206896551726,4.117815544589207,3.41,74.19354838709677,137120.0,3.6,4.6637707926752645,28839855.479999997,-0.4046920821114369,-0.014662756598240676,0.11730205278592386,-0.30205278592375373,-0.04096920821114369,-0.0019662756598240677,0.011230205278592385,-0.030705278592375373,0.6290487477897481,0.11162257803891615,-0.06568092011932633,0.9159904057093377
241,2018-06-01,CLWT,7254807.8166,50.65310774086087,14.681549684061835,1.7185,0.8612161768984716,810253.125,1.763,6.887246331416629,2142449.5312124994,0.18102996799534474,0.025836485306953736,-0.07756764620308407,0.1292988070992144,0.017602996799534473,0.0020836485306953735,-0.008256764620308407,0.01242988070992144,0.6466517445892825,0.11370622656961152,-0.07393768473963473,0.9284202864192591
242,2018-06-04,GEVO,824285671.4222001,19.513255106475434,4.416184406684359,5.5,12.545454545454549,3005.0,5.6,3.5050984624096677,325302.3576,0.25756363636363633,-0.00909090909090906,0.01516363636363639,0.26363636363636367,0.025256363636363632,-0.001409090909090906,0.0010163636363636388,0.025863636363636366,0.6719081082256462,0.11229713566052062,-0.0729213211032711,0.9542839227828954
