Date,Stock,GapSize,market_cap,OpenAdjusted,OpenUnadjusted,PreVolume,PreHigh,PreBreakTime,Day1/Gap,RVOL10D,GapSizeRel,$volume,MaxChange,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum
2018-06-26,AVGR,20.45200546380228,178704595.85000002,19.4,1.94,79755.9,21.8,,0.21250758955676988,7.463204754957149,1.9769712888637223,168572402.24999997,4.6391752577319645,0.03608247422680409,0.025773195876288662,0.010309278350515427,0.07216494845360819,0.0036082474226804095,0.0025773195876288664,0.0010309278350515427,0.007216494845360819,2.950207203920847,1.9542876985286017,-0.44154007283198143,4.462954829617467
2018-06-27,CARA,27.586374695863736,965463742.7399999,20.9752,20.9752,699889.0,23.19,,0.642794143587935,5.837982060631115,5.467291895625777,228000250.7752,6.268355009725757,0.1389831801365423,-0.052442884930775285,-0.005244288493077681,0.08129600671268933,0.01389831801365423,-0.005244288493077529,-0.0005244288493077681,0.008129600671268934,2.9641055219345014,1.9490434100355243,-0.4420645016812892,4.471084430288736
2018-06-27,RKDA,20.486555697823317,188344155.15,9.41,9.41,625324.0,10.7,,0.5749999999999997,4.548443535088218,2.1876713465564492,27050820.099999998,0.4250797024442088,0.0977683315621679,0.011689691817215667,0.0308182784272052,0.14027630180658876,0.00977683315621679,0.0011689691817215668,0.00308182784272052,0.014027630180658876,2.9738823550907183,1.9502123792172459,-0.43898267383856865,4.485112060469395
2018-06-27,DAC,19.444444444444464,37074024.0,30.1,2.15,1883.0,30.8,,1.0,2.364549386346342,2.7942412158082055,16264144.75,0.0,0.16279069767441867,0.11627906976744186,0.0,0.2790697674418605,0.016279069767441867,0.011627906976744186,0.0,0.027906976744186053,2.9901614248581603,1.96184028619399,-0.43898267383856865,4.5130190372135806
2018-06-28,CEI,63.09168443496802,218750000.0,23903.125,0.7649,98.825,26250.0,09:31:00,-0.37208516390672525,7.180404007187868,4.768942390974218,2181945192073.4375,135.32487906915938,-0.14394038436396914,0.413125898810302,0.07203556020394823,0.34122107465028106,-0.014394038436396915,0.041312589881030204,0.007203556020394824,0.034122107465028105,2.9757673864217633,2.00315287607502,-0.43177911781817385,4.5471411446786085
2018-06-28,PED,47.679324894514764,176841426.3,3.5,3.5,973847.0,4.48,,1.238938053097345,4.869994439234148,4.478506244221982,56718863.599999994,26.85714285714287,0.39999999999999997,0.022857142857142878,-0.07142857142857142,0.3514285714285714,0.04,0.002285714285714288,-0.007142857142857143,0.03514285714285714,3.0157673864217633,2.0054385903607344,-0.43892197496103097,4.582284001821465
2018-06-28,GBR,114.7887323943662,8827439.6734,3.05,3.05,1237237.0,3.68,,0.8158895705521472,8.733665627362157,10.184401367384504,21657224.71535,18.032786885245923,0.4360327868852459,-0.8295081967213115,0.009868852459016399,-0.3836065573770492,0.043603278688524594,-0.08295081967213115,0.0009868852459016398,-0.03836065573770492,3.059370665110288,1.9224877706886032,-0.43793508971512934,4.54392334608376
2018-06-28,HUSA,27.12618545167933,3949492.8564,5.0,0.4,59215.92,6.125,,0.025775611584965656,6.582008021292512,3.161096459814952,54249891.4025,17.500000000000004,0.005499999999999972,0.29024,-0.05549999999999997,0.24024,0.0005499999999999972,0.029024,-0.005549999999999998,0.024024000000000004,3.059920665110288,1.9515117706886032,-0.44348508971512934,4.56794734608376
2018-06-29,DERM,23.46241457858771,74119343.96061775,10.84,10.84,1655520.0,11.47,,0.796116504854369,5.365330262947102,4.181397768719869,111210346.74,0.46125461254613587,0.1512915129151292,0.0009225092250923951,0.036900369003689905,0.18911439114391151,0.015129151291512922,9.225092250923951e-05,0.0036900369003689906,0.01891143911439115,3.075049816401801,1.9516040216111123,-0.43979505281476033,4.586858785198151
2018-06-29,FRD,24.808886392711173,55934849.699999996,8.0,8.0,4176.0,8.3,09:30:00,-0.06288517167651844,9.259825691790672,6.1333483832325255,5629485.750000001,27.750000000000007,-0.012499999999999956,-0.050000000000000044,-0.012499999999999956,-0.07499999999999996,-0.0012499999999999957,-0.0050000000000000044,-0.0012499999999999957,-0.007499999999999996,3.073799816401801,1.9466040216111122,-0.4410450528147603,4.579358785198151
2018-06-29,VVPR,19.658119658119656,48416259.059999995,2.8,2.8,228793.0,3.39,,1.0,6.7192162496271886,1.9587561641687155,11429319.42,18.928571428571427,0.16428571428571428,0.03214285714285709,0.024999999999999946,0.22142857142857134,0.016428571428571428,0.0032142857142857095,0.002499999999999995,0.022142857142857134,3.0902283878303725,1.9498183073253978,-0.4385450528147603,4.601501642341008
2018-07-02,GBR,39.81042654028437,45674212.6,5.9,5.9,423746.0,7.03,09:32:00,-1.7857142857142851,3.550203586184922,3.532100703927031,118202057.4,116.10169491525424,-0.5084745762711864,1.3372881355932202,-0.5254237288135593,0.30338983050847457,-0.05084745762711865,0.13372881355932204,-0.05254237288135593,0.030338983050847458,3.039380930203254,2.08354712088472,-0.49108742569611624,4.631840625391855
2018-07-02,BLFS,16.301489921121814,624287270.84,13.27,13.27,17533.0,13.75,09:41:00,-0.9247311827956995,4.168086672162628,2.717156228096118,18238735.529999997,16.72946495855314,-0.1296156744536549,-0.12810851544837976,-0.0007535795026375122,-0.25847776940467215,-0.012961567445365491,-0.012810851544837977,-7.535795026375122e-05,-0.025847776940467217,3.0264193627578884,2.0707362693398816,-0.49116278364638,4.605992848451388
2018-07-02,ADMP,48.4375,714653476.8,4.75,4.75,1181236.0,5.65,,-0.03225806451612892,7.311805961334214,6.006121554202326,55538703.050000004,7.36842105263158,-0.010526315789473648,0.10526315789473684,-0.04210526315789478,0.05263157894736842,-0.0010526315789473647,0.010526315789473684,-0.004210526315789478,0.005263157894736842,3.025366731178941,2.0812625851293554,-0.4953733099621695,4.6112560063461245
2018-07-02,PED,27.753303964757702,195367670.95999998,2.9,2.9,582964.0,3.03,,0.9206349206349209,0.9356229378164143,2.606860423861775,14079558.87,4.482758620689653,0.20000000000000004,0.1586206896551724,-0.062068965517241434,0.296551724137931,0.020000000000000004,0.01586206896551724,-0.006206896551724144,0.029655172413793104,3.045366731178941,2.0971246540948725,-0.5015802065138937,4.640911178759918
