,Date,Stock,GapSize,GapSizeRel,RVOL10D,$volume,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum,MaxChange,OpenPrice,market_cap,PreHigh,PreVolume
0,2018-01-04,CNET,142.73504273504273,3564.612742426129,,536765489.0,-2.2887323943661975,0.3107617896009673,0.11456102783725913,-1.007042253521127,-0.22937323943661975,0.03057617896009673,0.010956102783725913,-0.1012042253521127,-0.22937323943661975,0.03057617896009673,0.010956102783725913,-0.1012042253521127,319.0140845070423,2.84,330007203.18,,
1,2018-01-04,ZUMZ,17.560975609756113,807.9454341150874,,1938031.7500000035,0.04771784232365154,0.02380952380952384,-0.006535947712418394,0.06431535269709546,0.004271784232365155,0.001880952380952384,-0.0011535947712418392,0.005931535269709546,-0.2251014552042546,0.03245713134104911,0.009802508012484074,-0.09527269008240315,1.4315352697095385,24.1,525991050.0,,
2,2018-01-08,MYSZ,50.60240963855422,1317.242897485535,,24861074.400179993,-0.14399999999999996,0.25217391304347825,0.19580419580419578,0.312,-0.014899999999999997,0.024717391304347826,0.019080419580419578,0.0307,-0.2400014552042546,0.057174522645396936,0.028882927592903652,-0.06457269008240314,43.20000000000002,37.5,68589958.58,,
3,2018-01-10,TNDM,26.923076923076916,1027.8233392050981,,1047975.7999999986,0.055096418732782294,0.028985507246376836,-0.005830903790087469,0.07713498622589526,0.00500964187327823,0.002398550724637684,-0.001083090379008747,0.007213498622589526,-0.23499181333097635,0.05957307337003462,0.027799837213894906,-0.057359191459813615,9.641873278236911,3.63,217917215.88000003,,
4,2018-01-10,VOXX,25.225225225225234,936.8081762208755,,406397.7000000002,0.06474820143884895,0.015503875968992331,0.007692307692307665,0.08633093525179864,0.005974820143884896,0.001050387596899233,0.0002692307692307665,0.008133093525179864,-0.22901699318709146,0.06062346096693385,0.028069067983125674,-0.04922609793463375,0.7194244604316502,6.95,155191289.5,,
5,2018-01-11,RELL,18.326118326118323,1119.7119146986456,,40638.749999999854,0.030487804878048676,-0.026415094339622636,0.0,0.004878048780487702,0.0025487804878048677,-0.0031415094339622635,-0.0005,-1.2195121951229845e-05,-0.22646821269928658,0.05748195153297159,0.027569067983125674,-0.049238293056584975,0.0,8.2,106034548.05,,
6,2018-01-11,NBEV,31.89823874755382,867.2801378046967,,1922864.6000000017,0.05934718100890213,0.09717868338557996,-0.006309148264984233,0.14540059347181014,0.0054347181008902136,0.009217868338557996,-0.0011309148264984235,0.014040059347181014,-0.22103349459839636,0.06669981987152958,0.026438153156627252,-0.03519823370940396,7.71513353115727,3.37,465396404.82,,
7,2018-01-12,PFMT,80.41237113402062,2048.6976925785507,,10929269.4,0.33999999999999997,-0.04761904761904756,0.0,0.3085714285714286,0.033499999999999995,-0.005261904761904756,-0.0005,0.03035714285714286,-0.18753349459839636,0.06143791510962482,0.02593815315662725,-0.004841090852261101,0.5714285714285783,3.5,159723416.16,,
8,2018-01-16,SPI,137.7578334120611,2750.0790911488443,7.712745862081781,8475422.579999998,0.31125827814569534,0.07446808510638309,0.09615384615384615,0.42384105960264906,0.030625827814569535,0.006946808510638308,0.009115384615384614,0.04188410596026491,-0.1569076667838268,0.06838472362026313,0.03505353777201187,0.037043015108003806,5.298013245033117,15.1,24817586.560000002,,
9,2018-01-16,RCON,50.733137829912025,1249.6107648050258,9.175976907306215,21200768.42000001,-0.17898832684824909,0.15999999999999995,0.09240924092409243,0.1011673151750972,-0.01839883268482491,0.015499999999999995,0.008740924092409242,0.009616731517509719,-0.17530649946865173,0.08388472362026313,0.04379446186442111,0.046659746625513525,108.5603112840467,12.85,81801100.89,,
10,2018-01-18,LIVE,29.460013670539986,978.617689065332,7.600435232891055,3608962.9699999993,0.10190073917634633,0.025116822429906524,-0.0064667842445619884,0.1187961985216473,0.009690073917634634,0.0020116822429906522,-0.001146678424456199,0.01137961985216473,-0.1656164255510171,0.08589640586325378,0.04264778343996491,0.05803936647767825,8.236536430834196,18.94,26915501.340000004,,
11,2018-01-18,SPI,44.827586206896555,894.8994367928632,4.414532241186579,3340079.419999999,0.13492063492063486,0.02608695652173919,-0.055045871559632996,0.11111111111111115,0.012992063492063485,0.0021086956521739193,-0.0060045871559633,0.010611111111111115,-0.15262436205895363,0.0880051015154277,0.03664319628400162,0.06865047758878937,11.111111111111116,12.6,26010739.76,,
12,2018-01-19,FORD,109.6774193548387,4170.004084571974,9.814197360476092,20413538.950000007,-0.13461538461538464,0.06037735849056593,0.10169491525423738,0.04230769230769226,-0.013961538461538464,0.0055377358490565935,0.009669491525423738,0.0037307692307692267,-0.1665859005204921,0.0935428373644843,0.04631268780942535,0.0723812468195586,71.15384615384615,2.6,29680495.75,,
13,2018-01-22,LTBR,71.42857142857142,1675.9968724680907,9.434874479716798,13678000.199999992,0.07936507936507932,-0.06818181818181822,0.05172413793103453,0.06746031746031743,0.007436507936507932,-0.007318181818181823,0.004672413793103454,0.006246031746031743,-0.15914939258398417,0.08622465554630247,0.0509851016025288,0.07862727856559035,32.14285714285716,30.24,17698217.439999998,,
14,2018-01-23,CNET,37.4331550802139,934.8419213061576,2.821771554274236,25218397.049999997,0.20428015564202331,-0.025445292620865163,0.039119804400977926,0.215953307392996,0.01992801556420233,-0.0030445292620865164,0.003411980440097793,0.021095330739299603,-0.13922137701978182,0.08318012628421595,0.054397082042626596,0.09972260930488995,2.529182879377423,5.14,144510648.93,,
